name,slug,status,tier,category,last_contact,next_action,channel,notes
Greenway Dental,greenway-dental,Design partner (tentative),Tier 1,Target prospect,2025-10-14,Follow up with Dr. Anderton Dec 18 re formal LOI,Intro via Sam,3-chair Sydney independent — Dr. Anderton principal; strongest recall signal so far
Bayside Smiles,bayside-smiles,Design partner (tentative),Tier 1,Target prospect,2025-11-03,Convert to formal LOI after pivot decision,Cold email,4-chair Melbourne independent — PM Mariana is the buyer; strongest WTP so far ($500/mo)
Northside Family Dental,northside-family-dental,Meeting done,Tier 3,Target prospect,2025-11-21,Low priority — didn't resonate,Referral,5-chair Brisbane — Dr. Cho; soft signal; recall not urgent here
Coastal Dental,coastal-dental,Meeting booked,Tier 2,Target prospect,2025-12-03,Call Dec 10 — prep Dec 9,Cold email,3-chair Wollongong; on recommendation from Greenway
Harmony Dental Group,harmony-dental-group,Meeting booked,Tier 1,Target prospect,2025-12-05,Call Dec 12 — group-practice test,Inbound from LinkedIn,2 locations Sydney — group-buyer test; could unlock higher WTP
Clearview Dental,clearview-dental,Meeting booked,Tier 1,Target prospect,2025-12-07,Call Dec 17 — group-practice test,Referral,3 locations Perth; group-buyer test
Remuera Smiles,remuera-smiles,Meeting booked,Tier 2,Target prospect,2025-12-04,Call Dec 19 — NZ market signal,Cold email,NZ single-practice; tests whether NZ WTP differs
Te Ara Hauora,te-ara-hauora,Contacted,Tier 2,Target prospect,2025-11-28,Chase Dec 10 if still silent,LinkedIn,NZ 2-location; Māori-owned; testing outreach response
DentalStack,dentalstack,Enriched,Tier 1,Direct competitor,2025-11-02,Refresh teardown — ANZ launch announced 2025-12-08,Web research,US-based AI-first PMS; HIGH threat; $20M+ funded
Curve Dental,curve-dental,Enriched,Tier 2,Direct competitor,2025-11-08,—,Web research,Enterprise-skewed cloud PMS; present in ANZ via reseller
Dentrix Ascend,dentrix-ascend,Enriched,Tier 2,Direct competitor,2025-11-15,—,Web research,Legacy PMS cloud version; Henry Schein owned; slow innovation
Open Dental,open-dental,Enriched,Tier 3,Adjacent,2025-11-28,—,Web research,Open-source self-host; ~50 practices AU estimate; technical niche
